CustomerID,Size,District,Firm.Chosen,ABB.Prob,GE.Prob,Westinghouse.Prob,Edison.Prob
13,466,2,ABB,0.637833652,1.53467E-05,0.362150989,1.27793E-08
86,480,3,GE,0.610546378,0.380225148,2.91626E-06,0.009225558
16,894,3,GE,0.556348584,0.167155374,0.203414231,0.073081811
84,1404,3,GE,0.517352764,0.48264591,1.32456E-06,1.01315E-09
4,562,3,Edison,0.487924296,0.397270813,6.18755E-08,0.11480483
66,9793,3,GE,0.162452789,0.685714475,0.14333244,0.008500296
11,1722,3,ABB,0.222213093,0.050491158,0.727295749,4.4611E-12
26,899,2,Edison,0.347321976,0.002845385,0.073727915,0.576104725
17,1364,3,GE,0.212686907,0.131114471,0.076723467,0.579475155
7,664,3,Edison,0.404676136,0.076888194,0.000833898,0.517601772
36,511,3,Westinghouse,0.479436519,0.035670516,0.484892942,2.24831E-08
53,989,2,Westinghouse,0.178984795,0.002232585,0.8187826,2.09967E-08
37,767,2,ABB,0.224622069,0.19188176,0.574930035,0.008566136
39,796,1,Westinghouse,0.205911185,0.00892355,0.785165185,8.00812E-08
61,462,3,ABB,0.35264861,1.23971E-06,0.647078946,0.000271204
83,629,3,Westinghouse,0.253284774,8.21924E-07,0.746714404,1.83915E-10
67,676,3,Edison,0.175405526,0.036176763,5.95036E-13,0.788417711
41,444,1,ABB,0.26556386,4.33525E-07,0.734435707,2.53089E-17
